model,revision,variant,changed,loops_changed,canonical_ir_bytes,transformed_ir_bytes,clean_ir_bytes,c_bytes,canonical_ir_sha256,transformed_ir_sha256,clean_ir_sha256,c_sha256,transform_seconds,clean_seconds,plan_seconds,place_seconds,emit_seconds
UltraFace,e840fd462a16caa0a2e8eca9839ff68e4c0024a7,baseline,0,0,2675643,2675643,2673671,197266,7340007dba3d075ca56d4cac9cd89bd60583fcad195999c8118243de18caf891,7340007dba3d075ca56d4cac9cd89bd60583fcad195999c8118243de18caf891,036899d853cc71ef92ff12233d39368b3c21ca2eecaf1e547c2aa3b9688f1e9a,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,0.000000,39.994992,4.197353,1.132197,15.271412
UltraFace,e840fd462a16caa0a2e8eca9839ff68e4c0024a7,reorder,1,37,2675643,2676459,2674256,197851,7340007dba3d075ca56d4cac9cd89bd60583fcad195999c8118243de18caf891,739911c58d0aae2d8700ede00eca3e37638a5932544bbc9a4af69bbd05ec4b9e,1f9f89fd55045127a0e658c06df81adb65d79802bd2cc60078507541071eac1b,60e75d05dd28bae04b56be649def115cd5c418303e7156053acccd5ac7d9225e,8.040360,40.370450,4.213900,1.144112,15.469317
