model,revision,candidate,iteration,first,baseline_seconds,candidate_seconds,max_first_error,max_second_error,baseline_c_sha256,candidate_c_sha256,compiler
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,1500,5,candidate,0.040484000,0.038249000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,22d537c0c9aa0f83261d0624be8ab4800891f3130c9a2df6fd98abe49a7950b6,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,1500,6,baseline,0.040445000,0.038865000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,22d537c0c9aa0f83261d0624be8ab4800891f3130c9a2df6fd98abe49a7950b6,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,1500,7,candidate,0.039762000,0.038161000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,22d537c0c9aa0f83261d0624be8ab4800891f3130c9a2df6fd98abe49a7950b6,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,1500,8,baseline,0.039775000,0.037753000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,22d537c0c9aa0f83261d0624be8ab4800891f3130c9a2df6fd98abe49a7950b6,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,1500,9,candidate,0.040091000,0.037882000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,22d537c0c9aa0f83261d0624be8ab4800891f3130c9a2df6fd98abe49a7950b6,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,1000000,0,baseline,0.039831000,0.017638000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,2a7f0627511cbb59216a99434c0ef88627bbcafce83fae2bca8b9214ec2def7a,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,1000000,1,candidate,0.039906000,0.017591000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,2a7f0627511cbb59216a99434c0ef88627bbcafce83fae2bca8b9214ec2def7a,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,1000000,2,baseline,0.039835000,0.017668000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,2a7f0627511cbb59216a99434c0ef88627bbcafce83fae2bca8b9214ec2def7a,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,1000000,3,candidate,0.039971000,0.017620000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,2a7f0627511cbb59216a99434c0ef88627bbcafce83fae2bca8b9214ec2def7a,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,1000000,4,baseline,0.039854000,0.017655000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,2a7f0627511cbb59216a99434c0ef88627bbcafce83fae2bca8b9214ec2def7a,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,1000000,5,candidate,0.039928000,0.017638000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,2a7f0627511cbb59216a99434c0ef88627bbcafce83fae2bca8b9214ec2def7a,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,1000000,6,baseline,0.039934000,0.017627000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,2a7f0627511cbb59216a99434c0ef88627bbcafce83fae2bca8b9214ec2def7a,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,1000000,7,candidate,0.039978000,0.017739000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,2a7f0627511cbb59216a99434c0ef88627bbcafce83fae2bca8b9214ec2def7a,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,1000000,8,baseline,0.039905000,0.017719000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,2a7f0627511cbb59216a99434c0ef88627bbcafce83fae2bca8b9214ec2def7a,Apple clang version 17.0.0 (clang-1700.6.3.2)
UltraFace,ce9ebe896cea15f0f69f677d9cfe8887eede7614,1000000,9,candidate,0.040027000,0.017704000,0,0,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,2a7f0627511cbb59216a99434c0ef88627bbcafce83fae2bca8b9214ec2def7a,Apple clang version 17.0.0 (clang-1700.6.3.2)
