variant,revision,payload_layout,pure_query_memo,wall_seconds,user_seconds,sys_seconds,reported_calls,memo_hits,executed_source_calls,source_bytes,source_sha256
baseline,c69568b,false,false,191.51,190.11,0.82,2099082,0,2099082,329117,7166b99e0ff9e909606898a175e070cf85dcfa23c03fc279f9f1309ca7cfe874
candidate,1499208,true,true,38.65,38.28,0.14,686010,448668,237342,329117,7166b99e0ff9e909606898a175e070cf85dcfa23c03fc279f9f1309ca7cfe874
