model,variant,iteration,seconds,checksum,max_error_0,max_error_1
UltraFace-RFB-320,spatial-loop,0,0.025059000,,2.9802322387695312e-07,3.5762786865234375e-07
UltraFace-RFB-320,spatial-loop,1,0.025112000,,2.9802322387695312e-07,3.5762786865234375e-07
UltraFace-RFB-320,spatial-loop,2,0.025060000,,2.9802322387695312e-07,3.5762786865234375e-07
UltraFace-RFB-320,spatial-loop,3,0.025196000,,2.9802322387695312e-07,3.5762786865234375e-07
UltraFace-RFB-320,spatial-loop,4,0.025047000,,2.9802322387695312e-07,3.5762786865234375e-07
UltraFace-RFB-320,spatial-loop,5,0.025240000,,2.9802322387695312e-07,3.5762786865234375e-07
UltraFace-RFB-320,spatial-loop,6,0.025092000,,2.9802322387695312e-07,3.5762786865234375e-07
UltraFace-RFB-320,spatial-loop,7,0.025251000,,2.9802322387695312e-07,3.5762786865234375e-07
UltraFace-RFB-320,spatial-loop,8,0.025165000,,2.9802322387695312e-07,3.5762786865234375e-07
UltraFace-RFB-320,spatial-loop,9,0.025263000,,2.9802322387695312e-07,3.5762786865234375e-07
SqueezeNet1.1-7,reference-loop,0,0.177587000,,5.245208740234375e-06,
SqueezeNet1.1-7,reference-loop,1,0.177545000,,5.245208740234375e-06,
SqueezeNet1.1-7,reference-loop,2,0.180732000,,5.245208740234375e-06,
SqueezeNet1.1-7,reference-loop,3,0.181122000,,5.245208740234375e-06,
SqueezeNet1.1-7,reference-loop,4,0.181332000,,5.245208740234375e-06,
SqueezeNet1.1-7,reference-loop,5,0.181263000,,5.245208740234375e-06,
SqueezeNet1.1-7,reference-loop,6,0.180721000,,5.245208740234375e-06,
SqueezeNet1.1-7,reference-loop,7,0.182131000,,5.245208740234375e-06,
SqueezeNet1.1-7,reference-loop,8,0.182049000,,5.245208740234375e-06,
SqueezeNet1.1-7,reference-loop,9,0.181812000,,5.245208740234375e-06,
SqueezeNet1.1-7,spatial-loop,0,0.052865000,,5.245208740234375e-06,
SqueezeNet1.1-7,spatial-loop,1,0.052657000,,5.245208740234375e-06,
SqueezeNet1.1-7,spatial-loop,2,0.053181000,,5.245208740234375e-06,
SqueezeNet1.1-7,spatial-loop,3,0.052676000,,5.245208740234375e-06,
SqueezeNet1.1-7,spatial-loop,4,0.052873000,,5.245208740234375e-06,
SqueezeNet1.1-7,spatial-loop,5,0.052525000,,5.245208740234375e-06,
SqueezeNet1.1-7,spatial-loop,6,0.052030000,,5.245208740234375e-06,
SqueezeNet1.1-7,spatial-loop,7,0.051800000,,5.245208740234375e-06,
SqueezeNet1.1-7,spatial-loop,8,0.051821000,,5.245208740234375e-06,
SqueezeNet1.1-7,spatial-loop,9,0.051927000,,5.245208740234375e-06,
