model,variant,revision,input_ir_bytes,input_sha256,cutoff_seconds,elapsed_seconds,status,output_bytes,output_sha256
DenseNet121-12,spatial-c-prepare,741b972,65429147,86c0b3b77175efbda90e4ff0e7caf589ab64922c084da24749892fe6265b47ab,600,,timeout,0,
DenseNet121-12,spatial-c-prepare,d09571a,65429147,86c0b3b77175efbda90e4ff0e7caf589ab64922c084da24749892fe6265b47ab,600,271.92,pass,65834120,97e8cfb42b754f51022f21c94066cd6af7536734d087e58610192e3da1f17d65
