model,revision,variant,changed,loops_changed,canonical_ir_bytes,transformed_ir_bytes,clean_ir_bytes,c_bytes,canonical_ir_sha256,transformed_ir_sha256,clean_ir_sha256,c_sha256,transform_seconds,clean_seconds,plan_seconds,place_seconds,emit_seconds
SqueezeNet,29a18a23a739c7a0f782e34da5bbe4cf08e5048a,baseline,0,0,9978320,9978320,9976929,78725,d1e77c052437dc41f19f730a0a672d61e63be20abbdd8bffc8ae1c798ace768d,d1e77c052437dc41f19f730a0a672d61e63be20abbdd8bffc8ae1c798ace768d,4d2a497723427e7cc8dfb74d58be7c78dbdb82aa0880461b0ff0dd24bf349641,5330d7cc40b86f4a67286cdf8952d85e68343ff4b25c9396f5472f20c9b51833,0.000000,14.499722,1.751233,0.747834,5.962204
SqueezeNet,29a18a23a739c7a0f782e34da5bbe4cf08e5048a,reorder,1,18,9978320,9978680,9977149,78945,d1e77c052437dc41f19f730a0a672d61e63be20abbdd8bffc8ae1c798ace768d,dd9fd05cde13df7ba8c0c8db2f75de04b401febb01699859cb43aaf7381510fd,4a0b3f696668f791d71aa4a09e9cfd09d439accb46a80de7060366eecf4dd849,385c57615c4b05b9d56604334956ade65ae31187eda8ffe8c24d3b1f6dbbbd96,3.401117,14.806939,1.775561,0.748492,6.039634
