variant,iteration,seconds,checksum
baseline,0,0.204464000,7.0202042339369655
baseline,1,0.204573000,7.0202042339369655
baseline,2,0.204525000,7.0202042339369655
baseline,3,0.203984000,7.0202042339369655
baseline,4,0.204683000,7.0202042339369655
baseline,5,0.204770000,7.0202042339369655
baseline,6,0.204707000,7.0202042339369655
baseline,7,0.205078000,7.0202042339369655
baseline,8,0.204339000,7.0202042339369655
baseline,9,0.204026000,7.0202042339369655
baseline,10,0.204147000,7.0202042339369655
baseline,11,0.204578000,7.0202042339369655
baseline,12,0.204656000,7.0202042339369655
baseline,13,0.204399000,7.0202042339369655
baseline,14,0.204769000,7.0202042339369655
baseline,15,0.204481000,7.0202042339369655
baseline,16,0.204363000,7.0202042339369655
baseline,17,0.204336000,7.0202042339369655
baseline,18,0.205042000,7.0202042339369655
baseline,19,0.205263000,7.0202042339369655
specialized,0,0.199973000,7.0202042339369655
specialized,1,0.199863000,7.0202042339369655
specialized,2,0.199798000,7.0202042339369655
specialized,3,0.199977000,7.0202042339369655
specialized,4,0.199944000,7.0202042339369655
specialized,5,0.199806000,7.0202042339369655
specialized,6,0.200890000,7.0202042339369655
specialized,7,0.201076000,7.0202042339369655
specialized,8,0.201223000,7.0202042339369655
specialized,9,0.201257000,7.0202042339369655
specialized,10,0.199351000,7.0202042339369655
specialized,11,0.201920000,7.0202042339369655
specialized,12,0.201644000,7.0202042339369655
specialized,13,0.202756000,7.0202042339369655
specialized,14,0.203915000,7.0202042339369655
specialized,15,0.206901000,7.0202042339369655
specialized,16,0.202793000,7.0202042339369655
specialized,17,0.202399000,7.0202042339369655
specialized,18,0.202445000,7.0202042339369655
specialized,19,0.203063000,7.0202042339369655
