variant,revision,canonical_ir_sha256,transformed_ir_sha256,placed_ir_sha256,c_sha256,loops,memory_slots,memory_elements,canonical_ir_bytes,transformed_ir_bytes,placed_ir_bytes,c_bytes,transform_seconds,clean_seconds,plan_seconds,place_seconds,emit_seconds
baseline,f8ade719c26820212e42318bee0c7d6b6c2fa225,a1a895c2521b1123c4192b4f5e771c050caf08b6a8b3a9f4cdec36fc6966ad55,a1a895c2521b1123c4192b4f5e771c050caf08b6a8b3a9f4cdec36fc6966ad55,e0ffa6a292a41af95e897716be6b4f8424c15b9089695d56587ce05ade546150,402033e48b0aef8d34bd134e91120a5d80787de9343430892c80c968ec87167f,156,3,2860032,28501132,28501132,28504507,192209,0.000000,5.601389,0.958988,0.669966,2.676498
fused,f8ade719c26820212e42318bee0c7d6b6c2fa225,a1a895c2521b1123c4192b4f5e771c050caf08b6a8b3a9f4cdec36fc6966ad55,e0cae2a1b2e84b33e65eb45418d377854c1b4c036389ddda4c6f2b76b576011c,2cb72492b8f400f2f3252206283c68d085c73a4afc122003049464bcec5bed61,9d1246c2a9072a259a4d9f70da47e8212606364f49df97700d5ee4ed4f881f85,110,3,2860032,28501132,28486493,28488350,188244,7.117807,5.318902,0.890968,0.616052,2.480927
