variant,commit,wall_s,user_s,sys_s,output_bytes,output_sha256
baseline,f2a759c,75.47,74.25,0.59,28523126,be75d59e4d54a799de0345e7a32c91b00d40b4c1d32cf114379e7d2ed9d26887
cached-visibility-linear-frame,candidate,55.71,54.84,0.78,28523126,be75d59e4d54a799de0345e7a32c91b00d40b4c1d32cf114379e7d2ed9d26887
