backend,iteration,seconds,checksum
joggle-c-strict,0,0.204474000,7.0202042339369655
joggle-c-strict,1,0.204694000,7.0202042339369655
joggle-c-strict,2,0.204475000,7.0202042339369655
joggle-c-strict,3,0.203856000,7.0202042339369655
joggle-c-strict,4,0.204213000,7.0202042339369655
joggle-c-strict,5,0.204565000,7.0202042339369655
joggle-c-strict,6,0.207759000,7.0202042339369655
joggle-c-strict,7,0.205992000,7.0202042339369655
joggle-c-strict,8,0.205256000,7.0202042339369655
joggle-c-strict,9,0.205593000,7.0202042339369655
joggle-c-fast,0,0.109004000,7.020365983247757
joggle-c-fast,1,0.109313000,7.020365983247757
joggle-c-fast,2,0.113497000,7.020365983247757
joggle-c-fast,3,0.113069000,7.020365983247757
joggle-c-fast,4,0.112665000,7.020365983247757
joggle-c-fast,5,0.112846000,7.020365983247757
joggle-c-fast,6,0.112702000,7.020365983247757
joggle-c-fast,7,0.115092000,7.020365983247757
joggle-c-fast,8,0.113615000,7.020365983247757
joggle-c-fast,9,0.113383000,7.020365983247757
onnxruntime,0,0.005818125,7.020110534504056
onnxruntime,1,0.005841792,7.020110534504056
onnxruntime,2,0.005868583,7.020110534504056
onnxruntime,3,0.005866708,7.020110534504056
onnxruntime,4,0.005861625,7.020110534504056
onnxruntime,5,0.005892625,7.020110534504056
onnxruntime,6,0.006091250,7.020110534504056
onnxruntime,7,0.006393917,7.020110534504056
onnxruntime,8,0.006010333,7.020110534504056
onnxruntime,9,0.006001416,7.020110534504056
