model,revision,variant,changed,loops_changed,canonical_ir_bytes,transformed_ir_bytes,clean_ir_bytes,c_bytes,canonical_ir_sha256,transformed_ir_sha256,clean_ir_sha256,c_sha256,transform_seconds,clean_seconds,plan_seconds,place_seconds,emit_seconds
MobileNetV2,474387ec20610a8c80a4e78119ea46629a9c2be2,baseline,0,0,28518542,28518542,28516790,153352,8dd4c2adfad7ab65b36fbad4e9e5654d268b8e31a0e9693632fd76c58ed601f4,8dd4c2adfad7ab65b36fbad4e9e5654d268b8e31a0e9693632fd76c58ed601f4,03e6ba09a0e6df80ce4f1e29cd8bf5e781006d12d099f20edc4d84aeb43906d2,f05602330d11d2219b2610249878b49cbac8bf0e36921a17c95ca779efe6d16b,0.000000,2.637861,0.543762,0.427357,1.229907
MobileNetV2,474387ec20610a8c80a4e78119ea46629a9c2be2,reorder,1,32,28518542,28519238,28517228,153790,8dd4c2adfad7ab65b36fbad4e9e5654d268b8e31a0e9693632fd76c58ed601f4,63482bdc8b5ce17486fa3fdaac8d7d4e25fed4af6a0b47742eac9facf8909756,f92e26e22a368588fcfb64d5aba828ef15f60f098f17624a721bd00b2a112658,45fb3d4afd83a0d1f49358cdd1bf6232f708b78070820320ebe52435895a8e86,0.868379,2.627796,0.544332,0.426856,1.218268
