model,revision,factors,budget,changed,accumulators,canonical_ir_bytes,blocked_ir_bytes,clean_ir_bytes,c_bytes,canonical_ir_sha256,blocked_ir_sha256,c_sha256,block_seconds,clean_seconds,plan_seconds,place_seconds,emit_seconds
UltraFace,a487488b3ca5e4d57921fd968baa45fc3621a08c,"[4,7]",0,0,0,2675643,2675643,2673671,197266,7340007dba3d075ca56d4cac9cd89bd60583fcad195999c8118243de18caf891,7340007dba3d075ca56d4cac9cd89bd60583fcad195999c8118243de18caf891,1f51a9bed0e754838ce3cc455f05945a87536a956d6b2569f3676e9abba336b2,7.724466,40.127522,4.201395,1.132499,15.237785
UltraFace,a487488b3ca5e4d57921fd968baa45fc3621a08c,"[4,7]",500,1,4,2675643,2680035,2677283,202607,7340007dba3d075ca56d4cac9cd89bd60583fcad195999c8118243de18caf891,64524c6694ede0505bdde8d67f81711fc345fef021f64f3227abc87d3842b37e,67ab04497a740c016456fffeb1156fe1a71795f83bd55d5970209fae8f593457,13.175219,43.772041,4.380547,1.161468,15.975502
UltraFace,a487488b3ca5e4d57921fd968baa45fc3621a08c,"[4,7]",1500,1,16,2675643,2693207,2687570,217769,7340007dba3d075ca56d4cac9cd89bd60583fcad195999c8118243de18caf891,4d2ada978702c6bfcd44c0b591ba59beea81765032574ab8181af44709161cc7,c964e84472a24ba1ee47968afea666c492eb40e6caa0db57df694de5b62f9487,29.293115,54.479853,4.845416,1.255190,18.030177
