study,trial,position,system,seconds,checksum,metrics,validation,load1_before,load1_after
mnist,8,1,onnxruntime,0.000055344,fa2bb9a76209748f,{},"[0;93m2026-09-14 08:19:32.033334089 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=1.90734863e-05",1.115723,1.115723
mnist,9,0,onnxruntime,0.000053837,fa2bb9a76209748f,{},"[0;93m2026-09-14 08:19:32.153963000 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=1.90734863e-05",1.115723,1.115723
mnist,9,1,joggle,0.000588510,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.115723,1.115723
mnist,10,0,onnxruntime,0.000053695,fa2bb9a76209748f,{},"[0;93m2026-09-14 08:19:32.280104044 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=1.90734863e-05",1.115723,1.115723
mnist,10,1,joggle,0.000562779,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.115723,1.115723
mnist,11,0,joggle,0.000560534,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.115723,1.115723
mnist,11,1,onnxruntime,0.000053867,fa2bb9a76209748f,{},"[0;93m2026-09-14 08:19:32.408903113 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=1.90734863e-05",1.115723,1.115723
mnist,12,0,joggle,0.000564096,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.115723,1.115723
mnist,12,1,onnxruntime,0.000053982,fa2bb9a76209748f,{},"[0;93m2026-09-14 08:19:32.533921315 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=1.90734863e-05",1.115723,1.115723
mnist,13,0,onnxruntime,0.000052308,fa2bb9a76209748f,{},"[0;93m2026-09-14 08:19:32.654214896 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=1.90734863e-05",1.115723,1.115723
mnist,13,1,joggle,0.000559482,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.115723,1.115723
mnist,14,0,onnxruntime,0.000053328,fa2bb9a76209748f,{},"[0;93m2026-09-14 08:19:32.778428240 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=1.90734863e-05",1.115723,1.115723
mnist,14,1,joggle,0.000574221,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.115723,1.115723
mnist,15,0,joggle,0.000560293,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.115723,1.115723
mnist,15,1,onnxruntime,0.000053876,fa2bb9a76209748f,{},"[0;93m2026-09-14 08:19:32.905858803 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=1.90734863e-05",1.115723,1.115723
mnist,16,0,joggle,0.000569062,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.115723,1.115723
mnist,16,1,onnxruntime,0.000051860,fa2bb9a76209748f,{},"[0;93m2026-09-14 08:19:33.029475989 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=1.90734863e-05",1.115723,1.115723
mnist,17,0,onnxruntime,0.000051232,fa2bb9a76209748f,{},"[0;93m2026-09-14 08:19:33.150618616 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=1.90734863e-05",1.115723,1.115723
mnist,17,1,joggle,0.000562387,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.115723,1.115723
mnist,18,0,onnxruntime,0.000054219,fa2bb9a76209748f,{},"[0;93m2026-09-14 08:19:33.273961507 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=1.90734863e-05",1.115723,1.115723
mnist,18,1,joggle,0.000580041,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.115723,1.115723
mnist,19,0,joggle,0.000576801,b0dd09fe02e878b4,{},"output,0,elements,10,max_abs_error,1.811981201171875e-05",1.115723,1.115723
mnist,19,1,onnxruntime,0.000054267,fa2bb9a76209748f,{},"[0;93m2026-09-14 08:19:33.402030610 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=1.90734863e-05",1.115723,1.115723
