study,trial,position,system,seconds,checksum,metrics,validation,load1_before,load1_after
mobilenetv2-policy,8,1,onnxruntime,0.008375341,9e4733fdb6a536c4,{},"[0;93m2026-09-14 08:02:00.779041282 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.181152,1.181152
mobilenetv2-policy,9,0,onnxruntime,0.008365157,9e4733fdb6a536c4,{},"[0;93m2026-09-14 08:02:00.962190571 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.181152,1.181152
mobilenetv2-policy,9,1,joggle,0.102271428,037ae8c64f031b9c,{},"output,0,elements,1000,max_abs_error,2.193450927734375e-05",1.181152,1.181152
mobilenetv2-policy,10,0,onnxruntime,0.008372568,9e4733fdb6a536c4,{},"[0;93m2026-09-14 08:02:01.563039175 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.181152,1.181152
mobilenetv2-policy,10,1,joggle,0.102672033,037ae8c64f031b9c,{},"output,0,elements,1000,max_abs_error,2.193450927734375e-05",1.181152,1.181152
mobilenetv2-policy,11,0,joggle,0.103360817,037ae8c64f031b9c,{},"output,0,elements,1000,max_abs_error,2.193450927734375e-05",1.181152,1.181152
mobilenetv2-policy,11,1,onnxruntime,0.008387300,9e4733fdb6a536c4,{},"[0;93m2026-09-14 08:02:02.582554332 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.181152,1.181152
mobilenetv2-policy,12,0,joggle,0.102926972,037ae8c64f031b9c,{},"output,0,elements,1000,max_abs_error,2.193450927734375e-05",1.181152,1.181152
mobilenetv2-policy,12,1,onnxruntime,0.008382182,9e4733fdb6a536c4,{},"[0;93m2026-09-14 08:02:03.182391363 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.181152,1.181152
mobilenetv2-policy,13,0,onnxruntime,0.008368702,9e4733fdb6a536c4,{},"[0;93m2026-09-14 08:02:03.366164429 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.181152,1.181152
mobilenetv2-policy,13,1,joggle,0.102561038,037ae8c64f031b9c,{},"output,0,elements,1000,max_abs_error,2.193450927734375e-05",1.181152,1.181152
mobilenetv2-policy,14,0,onnxruntime,0.008405236,9e4733fdb6a536c4,{},"[0;93m2026-09-14 08:02:03.964188754 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.181152,1.181152
mobilenetv2-policy,14,1,joggle,0.101751084,037ae8c64f031b9c,{},"output,0,elements,1000,max_abs_error,2.193450927734375e-05",1.181152,1.166504
mobilenetv2-policy,15,0,joggle,0.103007331,037ae8c64f031b9c,{},"output,0,elements,1000,max_abs_error,2.193450927734375e-05",1.166504,1.166504
mobilenetv2-policy,15,1,onnxruntime,0.008391005,9e4733fdb6a536c4,{},"[0;93m2026-09-14 08:02:04.978172597 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.166504,1.166504
mobilenetv2-policy,16,0,joggle,0.102657221,037ae8c64f031b9c,{},"output,0,elements,1000,max_abs_error,2.193450927734375e-05",1.166504,1.166504
mobilenetv2-policy,16,1,onnxruntime,0.008373519,9e4733fdb6a536c4,{},"[0;93m2026-09-14 08:02:05.579962180 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.166504,1.166504
mobilenetv2-policy,17,0,onnxruntime,0.008365617,9e4733fdb6a536c4,{},"[0;93m2026-09-14 08:02:05.765998712 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.166504,1.166504
mobilenetv2-policy,17,1,joggle,0.102909987,037ae8c64f031b9c,{},"output,0,elements,1000,max_abs_error,2.193450927734375e-05",1.166504,1.166504
mobilenetv2-policy,18,0,onnxruntime,0.008396844,9e4733fdb6a536c4,{},"[0;93m2026-09-14 08:02:06.365462627 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.166504,1.166504
mobilenetv2-policy,18,1,joggle,0.102388802,037ae8c64f031b9c,{},"output,0,elements,1000,max_abs_error,2.193450927734375e-05",1.166504,1.166504
mobilenetv2-policy,19,0,joggle,0.103106409,037ae8c64f031b9c,{},"output,0,elements,1000,max_abs_error,2.193450927734375e-05",1.166504,1.166504
mobilenetv2-policy,19,1,onnxruntime,0.008381180,9e4733fdb6a536c4,{},"[0;93m2026-09-14 08:02:07.383158489 [W:onnxruntime:Default, device_discovery.cc:133 GetPciBusId] Skipping pci_bus_id for PCI path at ""/sys/devices/LNXSYSTM:00/LNXSYBUS:00/ACPI0004:00/MSFT1000:00/5620e0c7-8062-4dce-aeb7-520c7ef76171"" because filename ""5620e0c7-8062-4dce-aeb7-520c7ef76171"" did not match expected pattern of [0-9a-f]+:[0-9a-f]+:[0-9a-f]+[.][0-9a-f]+[m | max_abs_error=0",1.166504,1.166504
